,id,ppage,gender,educ,race,cat,voting_imp,Q29_1,Q29_2,Q29_3,Q29_4,Q29_5,Q29_6,Q29_7,Q29_8,Q29_9,difficulty,need_change
289,470426,65,Female,College,Black,rarely/never,1,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2,1
290,470427,49,Male,College,White,sporadic,1,,,,,,,,,,1,2
291,470428,44,Female,College,White,sporadic,1,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,2
292,470429,68,Male,Some college,White,always,1,,,,,,,,,,1,1
293,470430,43,Female,Some college,White,sporadic,1,,,,,,,,,,1,2
294,470431,70,Female,College,White,always,1,,,,,,,,,,1,1
295,470433,52,Male,College,White,always,1,,,,,,,,,,1,1
296,470434,78,Female,High school or less,White,sporadic,1,,,,,,,,,,1,1
297,470436,45,Male,College,White,sporadic,1,,,,,,,,,,2,1
298,470437,71,Male,Some college,White,always,1,,,,,,,,,,2,1
299,470439,26,Male,College,Black,always,1,,,,,,,,,,2,1
300,470440,65,Male,High school or less,White,rarely/never,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,2,1
301,470442,65,Male,Some college,White,sporadic,1,,,,,,,,,,1,2
302,470444,73,Male,High school or less,White,always,1,,,,,,,,,,1,1
303,470445,56,Female,High school or less,White,always,2,,,,,,,,,,2,1
304,470446,58,Female,High school or less,Other/Mixed,sporadic,1,,,,,,,,,,2,1
305,470448,71,Female,Some college,White,sporadic,1,,,,,,,,,,1,1
306,470449,44,Female,College,White,sporadic,2,,,,,,,,,,2,2
307,470450,40,Female,Some college,White,rarely/never,1,-1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,2,1
308,470451,68,Female,Some college,White,always,1,,,,,,,,,,1,1
309,470452,65,Male,High school or less,White,sporadic,1,,,,,,,,,,1,1
310,470455,63,Female,College,Hispanic,sporadic,1,,,,,,,,,,2,1
311,470457,67,Male,High school or less,Black,rarely/never,2,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2,1
312,470458,86,Male,College,White,sporadic,1,,,,,,,,,,1,1
313,470459,77,Male,College,White,sporadic,1,,,,,,,,,,1,1
314,470460,61,Female,College,White,always,1,,,,,,,,,,1,2
315,470461,53,Male,College,White,sporadic,1,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2,2
316,470466,68,Male,College,White,sporadic,1,,,,,,,,,,1,2
317,470468,63,Female,High school or less,Black,sporadic,2,,,,,,,,,,2,1
318,470469,74,Female,Some college,White,always,1,,,,,,,,,,1,2
319,470470,57,Male,College,White,sporadic,1,,,,,,,,,,1,2
320,470471,37,Male,College,White,sporadic,1,,,,,,,,,,3,1
321,470472,58,Male,High school or less,White,sporadic,1,,,,,,,,,,1,1
322,470474,80,Male,College,White,always,1,,,,,,,,,,2,1
